"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2014","20038215159.3873",""
"Afghanistan","2013","20458939155.2669",""
"Afghanistan","2012","20536542736.7297",""
"Afghanistan","2011","17930239399.8149",""
"Afghanistan","2010","15936800636.2487",""
"Afghanistan","2009","12486943505.7381",""
"Afghanistan","2008","10190529882.4878",""
"Afghanistan","2007","9843842455.48323",""
"Afghanistan","2006","7057598406.61553",""
"Afghanistan","2005","6275076016.47174",""
"Afghanistan","2004","5285461999.33739",""
"Afghanistan","2003","4583648921.64112",""
"Afghanistan","2002","4128818042.25508",""
"Afghanistan","2001","2461666314.78366",""
"Afghanistan","1981","3478787909.81818",""
"Afghanistan","1980","3641723447.18433",""
"Afghanistan","1979","3697940345.14177",""
"Afghanistan","1978","3300000108.08889",""
"Afghanistan","1977","2953333418.66667",""
"Afghanistan","1976","2555555566.93333",""
"Afghanistan","1975","2366666615.46667",""
"Afghanistan","1974","2155555498.66667",""
"Afghanistan","1973","1733333265.06667",""
"Afghanistan","1972","1595555475.91111",""
"Afghanistan","1971","1831108972.08889",""
"Afghanistan","1970","1748886596.26667",""
"Afghanistan","1969","1408888923.02222",""
"Afghanistan","1968","1373333367.46667",""
"Afghanistan","1967","1673333418.66667",""
"Afghanistan","1966","1399999965.86667",""
"Afghanistan","1965","1006666638.22222",""
"Afghanistan","1964","800000045.511111",""
"Afghanistan","1963","751111190.755556",""
"Afghanistan","1962","546666678.044444",""
"Afghanistan","1961","548888894.577778",""
"Afghanistan","1960","537777811.911111",""
"Albania","2014","13211513725.5881",""
"Albania","2013","12781029643.4205",""
"Albania","2012","12319784787.1422",""
"Albania","2011","12890867538.4618",""
"Albania","2010","11926953259.2629",""
"Albania","2009","12044212903.5541",""
"Albania","2008","12881352687.7775",""
"Albania","2007","10701011896.285",""
"Albania","2006","8992642348.95796",""
"Albania","2005","8158548716.52941",""
"Albania","2004","7314865175.67485",""
"Albania","2003","5746945912.88569",""
"Albania","2002","4435078647.86039",""
"Albania","2001","4060758804.1064",""
"Albania","2000","3632043907.78974",""
"Albania","1999","3414760915.22464",""
"Albania","1998","2707123772.39715",""
"Albania","1997","2359903108.25164",""
"Albania","1996","3314898291.37753",""
"Albania","1995","2424499009.14264",""
"Albania","1994","1985673798.10258",""
"Albania","1993","1228071037.84446",""
"Albania","1992","709452583.880319",""
"Albania","1991","1139166645.83333",""
"Albania","1990","2101624962.5",""
"Albania","1989","2335124987.5",""
"Albania","1988","2126000000",""
"Albania","1987","2156624900",""
"Albania","1986","2173750012.5",""
"Albania","1985","1965384586.2409",""
"Albania","1984","1924242453.00793",""
"Algeria","2014","213518488688.12",""
"Algeria","2013","209703529364.331",""
"Algeria","2012","209047389599.67",""
"Algeria","2011","200013050828.17",""
"Algeria","2010","161207268840.911",""
"Algeria","2009","137211039899.57",""
"Algeria","2008","171000692134.748",""
"Algeria","2007","134977088396.419",""
"Algeria","2006","117027304787.836",""
"Algeria","2005","103198229168.23",""
"Algeria","2004","85324998959.3018",""
"Algeria","2003","67863829704.7613",""
"Algeria","2002","56760288396.3756",""
"Algeria","2001","54744714109.9527",""
"Algeria","2000","54790060512.8887",""
"Algeria","1999","48640611686.2439",""
"Algeria","1998","48187747528.899",""
"Algeria","1997","48177862501.9495",""
"Algeria","1996","46941496779.8499",""
"Algeria","1995","41764052457.8814",""
"Algeria","1994","42542571305.5136",""
"Algeria","1993","49946455210.966",""
"Algeria","1992","48003298223.1178",""
"Algeria","1991","45715367087.1001",""
"Algeria","1990","62045098374.5482",""
"Algeria","1989","55631488295.4747",""
"Algeria","1988","59089065518.2217",""
"Algeria","1987","66742269085.575",""
"Algeria","1986","63696299980.7874",""
"Algeria","1985","57937867711.8946",""
"Algeria","1984","53698280328.201",""
"Algeria","1983","48801372218.3647",""
"Algeria","1982","45207090660.8991",""
"Algeria","1981","44348670715.7417",""
"Algeria","1980","42345276289.6781",""
"Algeria","1979","33243421341.4536",""
"Algeria","1978","26364491683.6933",""
"Algeria","1977","20971901064.9137",""
"Algeria","1976","17728348385.244",""
"Algeria","1975","15557934472.8677",""
"Algeria","1974","13209713766.2621",""
"Algeria","1973","8715106138.73716",""
"Algeria","1972","6761786485.49438",""
"Algeria","1971","5077222325.18392",""
"Algeria","1970","4863487558.0437",""
"Algeria","1969","4257253368.16603",""
"Algeria","1968","3852147120.94702",""
"Algeria","1967","3370870458.70498",""
"Algeria","1966","3039859261.76752",""
"Algeria","1965","3136284383.52789",""
"Algeria","1964","2909340109.86137",""
"Algeria","1963","2703004013.16486",""
"Algeria","1962","2001460830.68173",""
"Algeria","1961","2434766868.70395",""
"Algeria","1960","2723637614.73246",""
"Andorra","2013","3249100674.84008",""
"Andorra","2012","3146177740.6367",""
"Andorra","2011","3427235708.64326",""
"Andorra","2010","3346317328.52461",""
"Andorra","2009","3649863492.52426",""
"Andorra","2008","4001349339.57053",""
"Andorra","2007","4010785102.05129",""
"Andorra","2006","3536451645.56431",""
"Andorra","2005","3248134606.77511",""
"Andorra","2004","2916913449.18143",""
"Andorra","2003","2373836214.46563",""
"Andorra","2002","1717563532.6986",""
"Andorra","2001","1484004617.40835",""
"Andorra","2000","1401694155.6973",""
"Andorra","1999","1239840269.71814",""
"Andorra","1998","1211953953.56347",""
"Andorra","1997","1180646068.29262",""
"Andorra","1996","1224023415.65326",""
"Andorra","1995","1178745314.32635",""
"Andorra","1994","1017544675.49713",""
"Andorra","1993","1007090915.05999",""
"Andorra","1992","1209992649.56688",""
"Andorra","1991","1106891024.78653",""
"Andorra","1990","1028989393.70295",""
"Andorra","1989","795489464.025027",""
"Andorra","1988","721425971.769055",""
"Andorra","1987","611300147.254444",""
"Andorra","1986","481996191.303733",""
"Andorra","1985","346742876.30271",""
"Andorra","1984","330073057.021977",""
"Andorra","1983","327849981.484634",""
"Andorra","1982","375914806.528782",""
"Andorra","1981","388982990.468389",""
"Andorra","1980","446377571.45778",""
"Andorra","1979","411548365.741102",""
"Andorra","1978","308020288.906308",""
"Andorra","1977","253998001.243161",""
